title,author,generes,page_count,publisher,comb
textbook of economic theory,"Stonier, Alfred",economics,242.0,Pearson,"textbook of economic theory Stonier, Alfred economics Pearson"
econometric analysis,"Greene, W. H.",economics,242.0,Pearson,"econometric analysis Greene, W. H. economics Pearson"
learning opencv,"Bradsky, Gary",data_science,232.0,O'Reilly,"learning opencv Bradsky, Gary data_science O'Reilly"
data structures using c & c++,"Tanenbaum, Andrew",computer_science,235.0,Prentice Hall,"data structures using c & c++ Tanenbaum, Andrew computer_science Prentice Hall"
"computer vision, a modern approach","Forsyth, David",data_science,255.0,Pearson,"computer vision, a modern approach Forsyth, David data_science Pearson"
principles of communication system,"Taub, Schilling",computer_science,240.0,TMH,"principles of communication system Taub, Schilling computer_science TMH"
let us c,"Kanetkar, Yashwant",computer_science,213.0,Prentice Hall,"let us c Kanetkar, Yashwant computer_science Prentice Hall"
the amulet of samarkand,"Stroud, Jonathan",fiction,179.0,Random House,"the amulet of samarkand Stroud, Jonathan fiction Random House"
crime and punishment,"Dostoevsky, Fyodor",fiction,180.0,Penguin,"crime and punishment Dostoevsky, Fyodor fiction Penguin"
angels & demon,"Brown, Dan",fiction,178.0,Random House,"angels & demon Brown, Dan fiction Random House"
the argumentative indian,"Sen, Amartya",nonfiction,209.0,Picador,"the argumentative indian Sen, Amartya nonfiction Picador"
sea of poppie,"Ghosh, Amitav",fiction,197.0,Penguin,"sea of poppie Ghosh, Amitav fiction Penguin"
idea of justice,"Sen, Amartya",nonfiction,212.0,Penguin,"idea of justice Sen, Amartya nonfiction Penguin"
a raisin in the sun,"Hansberry, Lorraine",fiction,175.0,Penguin,"a raisin in the sun Hansberry, Lorraine fiction Penguin"
all the president's me,"Woodward, Bob",history,177.0,Random House,"all the president's me Woodward, Bob history Random House"
prisoner of birth,"Archer, Jeffery",fiction,176.0,Pan,"prisoner of birth Archer, Jeffery fiction Pan"
scoop,"Nayar, Kuldip",history,216.0,HarperCollins,"scoop Nayar, Kuldip history HarperCollins"
ahe manohar tari,"Deshpande, Sunita",nonfiction,213.0,Mauj,"ahe manohar tari Deshpande, Sunita nonfiction Mauj"
last mughal,"Dalrymple, William",history,199.0,Penguin,"last mughal Dalrymple, William history Penguin"
social choice & welfare,Various,economics,235.0,Springer,social choice & welfare Various economics Springer
radiowaril bhashane & shrutik,"Deshpande, P L",nonfiction,213.0,Mauj,"radiowaril bhashane & shrutik Deshpande, P L nonfiction Mauj"
gun gayin awad,"Deshpande, P L",nonfiction,212.0,Mauj,"gun gayin awad Deshpande, P L nonfiction Mauj"
aghal pagha,"Deshpande, P L",nonfiction,212.0,Mauj,"aghal pagha Deshpande, P L nonfiction Mauj"
maqta-e-ghali,"Garg, Sanjay",fiction,221.0,Mauj,"maqta-e-ghali Garg, Sanjay fiction Mauj"
beyond degree,unknown,nonfiction,222.0,HarperCollins,beyond degree unknown nonfiction HarperCollins
manas,"Kale, V P",nonfiction,213.0,Mauj,"manas Kale, V P nonfiction Mauj"
india from midnight to milennium,"Tharoor, Shashi",history,198.0,Penguin,"india from midnight to milennium Tharoor, Shashi history Penguin"
world's greatest trials,unknown,history,210.0,unknown,world's greatest trials unknown history unknown
great indian novel,"Tharoor, Shashi",fiction,198.0,Penguin,"great indian novel Tharoor, Shashi fiction Penguin"
o jerusalem,"Lapierre, Dominique",history,217.0,vikas,"o jerusalem Lapierre, Dominique history vikas"
city of joy,"Lapierre, Dominique",fiction,177.0,vikas,"city of joy Lapierre, Dominique fiction vikas"
freedom at midnight,"Lapierre, Dominique",history,167.0,vikas,"freedom at midnight Lapierre, Dominique history vikas"
winter of our discontent,"Steinbeck, John",fiction,196.0,Penguin,"winter of our discontent Steinbeck, John fiction Penguin"
on education,"Russell, Bertrand",philosophy,203.0,Routledge,"on education Russell, Bertrand philosophy Routledge"
free will,"Harris, Sam",philosophy,203.0,FreePress,"free will Harris, Sam philosophy FreePress"
bookless in baghdad,"Tharoor, Shashi",nonfiction,206.0,Penguin,"bookless in baghdad Tharoor, Shashi nonfiction Penguin"
the case of the lame canary,"Gardner, Earle Stanley",fiction,179.0,unknown,"the case of the lame canary Gardner, Earle Stanley fiction unknown"
the theory of everything,"Hawking, Stephen",science,217.0,Jaico,"the theory of everything Hawking, Stephen science Jaico"
new markets & other essay,"Drucker, Peter",economics,176.0,Penguin,"new markets & other essay Drucker, Peter economics Penguin"
electric universe,"Bodanis, David",science,201.0,Penguin,"electric universe Bodanis, David science Penguin"
the hunchback of notre-dame,"Hugo, Victor",fiction,175.0,Random House,"the hunchback of notre-dame Hugo, Victor fiction Random House"
burning bright,"Steinbeck, John",fiction,175.0,Penguin,"burning bright Steinbeck, John fiction Penguin"
the age of discontuinity,"Drucker, Peter",economics,178.0,Random House,"the age of discontuinity Drucker, Peter economics Random House"
doctor in the nude,"Gordon, Richard",fiction,179.0,Penguin,"doctor in the nude Gordon, Richard fiction Penguin"
down and out in paris & london,"Orwell, George",nonfiction,179.0,Penguin,"down and out in paris & london Orwell, George nonfiction Penguin"
identity & violence,"Sen, Amartya",philosophy,219.0,Penguin,"identity & violence Sen, Amartya philosophy Penguin"
beyond the three sea,"Dalrymple, William",history,197.0,Random House,"beyond the three sea Dalrymple, William history Random House"
world's greatest short stories,unknown,fiction,217.0,Jaico,world's greatest short stories unknown fiction Jaico
talking straight,"Iacoca, Lee",nonfiction,175.0,unknown,"talking straight Iacoca, Lee nonfiction unknown"
maugham's collected short stories,"Maugham, William S",fiction,171.0,Vintage,"maugham's collected short stories Maugham, William S fiction Vintage"
phantom of manhattan,"Forsyth, Frederick",fiction,180.0,unknown,"phantom of manhattan Forsyth, Frederick fiction unknown"
ashenden of the british agen,"Maugham, William S",fiction,160.0,Vintage,"ashenden of the british agen Maugham, William S fiction Vintage"
zen & the art of motorcycle maintenance,"Pirsig, Robert",philosophy,172.0,Vintage,"zen & the art of motorcycle maintenance Pirsig, Robert philosophy Vintage"
great war for civilization,"Fisk, Robert",history,197.0,HarperCollins,"great war for civilization Fisk, Robert history HarperCollins"
we the living,"Rand, Ayn",fiction,178.0,Penguin,"we the living Rand, Ayn fiction Penguin"
artist and the mathematician,"Aczel, Amir",science,186.0,HighStakes,"artist and the mathematician Aczel, Amir science HighStakes"
history of western philosophy,"Russell, Bertrand",philosophy,213.0,Routledge,"history of western philosophy Russell, Bertrand philosophy Routledge"
selected short stories of rabindranath tagore,unknown,fiction,215.0,Jaico,selected short stories of rabindranath tagore unknown fiction Jaico
rationality & freedom,"Sen, Amartya",economics,213.0,Springer,"rationality & freedom Sen, Amartya economics Springer"
clash of civilizations and remaking of the world order,"Huntington, Samuel",history,228.0,Simon&Schuster,"clash of civilizations and remaking of the world order Huntington, Samuel history Simon&Schuster"
uncommon wisdom,"Capra, Fritjof",nonfiction,197.0,Fontana,"uncommon wisdom Capra, Fritjof nonfiction Fontana"
one,"Bach, Richard",nonfiction,172.0,Dell,"one Bach, Richard nonfiction Dell"
karl marx biography,unknown,nonfiction,162.0,unknown,karl marx biography unknown nonfiction unknown
to sir with love,Braithwaite,fiction,197.0,Penguin,to sir with love Braithwaite fiction Penguin
half a life,"Naipaul, V S",fiction,196.0,unknown,"half a life Naipaul, V S fiction unknown"
discovery of india,"Nehru, Jawaharlal",history,230.0,unknown,"discovery of india Nehru, Jawaharlal history unknown"
apulki,"Deshpande, P L",nonfiction,211.0,unknown,"apulki Deshpande, P L nonfiction unknown"
unpopular essay,"Russell, Bertrand",philosophy,198.0,unknown,"unpopular essay Russell, Bertrand philosophy unknown"
the deceiver,"Forsyth, Frederick",fiction,178.0,unknown,"the deceiver Forsyth, Frederick fiction unknown"
veil: secret wars of the cia,"Woodward, Bob",history,171.0,unknown,"veil: secret wars of the cia Woodward, Bob history unknown"
char shabd,"Deshpande, P L",nonfiction,214.0,unknown,"char shabd Deshpande, P L nonfiction unknown"
rosy is my relative,"Durrell, Gerald",fiction,176.0,unknown,"rosy is my relative Durrell, Gerald fiction unknown"
moon and sixpence,"Maugham, William S",fiction,180.0,unknown,"moon and sixpence Maugham, William S fiction unknown"
political philosopher,unknown,philosophy,162.0,unknown,political philosopher unknown philosophy unknown
short history of the world,"Wells, H G",history,197.0,unknown,"short history of the world Wells, H G history unknown"
the trembling of a leaf,"Maugham, William S",fiction,205.0,unknown,"the trembling of a leaf Maugham, William S fiction unknown"
doctor on the brain,"Gordon, Richard",fiction,204.0,unknown,"doctor on the brain Gordon, Richard fiction unknown"
simpsons & their mathematical secret,"Singh, Simon",science,233.0,unknown,"simpsons & their mathematical secret Singh, Simon science unknown"
pattern classification,"Duda, Hart",data_science,241.0,unknown,"pattern classification Duda, Hart data_science unknown"
from beirut to jerusale,"Friedman, Thomas",history,202.0,unknown,"from beirut to jerusale Friedman, Thomas history unknown"
the code book,"Singh, Simon",science,197.0,unknown,"the code book Singh, Simon science unknown"
the age of the warrior,"Fisk, Robert",history,197.0,unknown,"the age of the warrior Fisk, Robert history unknown"
final crisis,unknown,comic,257.0,unknown,final crisis unknown comic unknown
batman:killing joke,unknown,comic,283.0,unknown,batman:killing joke unknown comic unknown
flash point,unknown,comic,265.0,unknown,flash point unknown comic unknown
batman earth one,unknown,comic,265.0,unknown,batman earth one unknown comic unknown
crisis on infinite earth,unknown,comic,258.0,unknown,crisis on infinite earth unknown comic unknown
the numbers behind numbers,"Devlin, Keith",science,202.0,unknown,"the numbers behind numbers Devlin, Keith science unknown"
superman : earth one ,unknown,comic,259.0,unknown,superman : earth one  unknown comic unknown
superman :earth one -vol1 ,unknown,comic,258.0,unknown,superman :earth one -vol1  unknown comic unknown
justice league: throne of atlantis,unknown,comic,258.0,unknown,justice league: throne of atlantis unknown comic unknown
justice league: the villain's journey,unknown,comic,258.0,unknown,justice league: the villain's journey unknown comic unknown
the death of superman,unknown,comic,258.0,unknown,the death of superman unknown comic unknown
history of the dc universe,unknown,comic,258.0,unknown,history of the dc universe unknown comic unknown
batman: the long halloween,unknown,comic,258.0,unknown,batman: the long halloween unknown comic unknown
steinbeck: a life in letters,"Steinbeck, John",nonfiction,196.0,unknown,"steinbeck: a life in letters Steinbeck, John nonfiction unknown"
the information,"Gleick, James",science,233.0,unknown,"the information Gleick, James science unknown"
"journal of economics, vol 106 ",unknown,economics,235.0,unknown,"journal of economics, vol 106  unknown economics unknown"
elements of information theory,"Thomas, Joy",data_science,229.0,unknown,"elements of information theory Thomas, Joy data_science unknown"
power electronics - rashid,"Rashid, Muhammad",computer_science,235.0,unknown,"power electronics - rashid Rashid, Muhammad computer_science unknown"
power electronics - mohan,"Mohan, Ned",computer_science,237.0,unknown,"power electronics - mohan Mohan, Ned computer_science unknown"
neural network,"Haykin, Simon",data_science,240.0,unknown,"neural network Haykin, Simon data_science unknown"
grapes of wrath,"Steinbeck, John",fiction,196.0,unknown,"grapes of wrath Steinbeck, John fiction unknown"
vyakti ani valli,"Deshpande, P L",nonfiction,211.0,unknown,"vyakti ani valli Deshpande, P L nonfiction unknown"
statistical learning theory,"Vapnik, Vladimir",data_science,228.0,unknown,"statistical learning theory Vapnik, Vladimir data_science unknown"
empire of the mughal - the tainted throne,"Rutherford, Alex",history,180.0,unknown,"empire of the mughal - the tainted throne Rutherford, Alex history unknown"
empire of the mughal - brothers at war,"Rutherford, Alex",history,180.0,unknown,"empire of the mughal - brothers at war Rutherford, Alex history unknown"
empire of the mughal - ruler of the world,"Rutherford, Alex",history,180.0,unknown,"empire of the mughal - ruler of the world Rutherford, Alex history unknown"
empire of the mughal - the serpent's tooth,"Rutherford, Alex",history,180.0,unknown,"empire of the mughal - the serpent's tooth Rutherford, Alex history unknown"
empire of the mughal - raiders from the north,"Rutherford, Alex",history,180.0,unknown,"empire of the mughal - raiders from the north Rutherford, Alex history unknown"
mossad,"Baz-Zohar, Michael",history,236.0,unknown,"mossad Baz-Zohar, Michael history unknown"
jim corbett omnibus,"Corbett, Jim",nonfiction,223.0,unknown,"jim corbett omnibus Corbett, Jim nonfiction unknown"
20000 leagues under the sea,"Verne, Jules",fiction,190.0,unknown,"20000 leagues under the sea Verne, Jules fiction unknown"
batatyachi chal,Deshpande P L,fiction,200.0,unknown,batatyachi chal Deshpande P L fiction unknown
hasavnuk,Deshpande P L,fiction,211.0,unknown,hasavnuk Deshpande P L fiction unknown
urla surl,Deshpande P L,fiction,211.0,unknown,urla surl Deshpande P L fiction unknown
pointers in c and c++,"Kanetkar, Yashwant",computer_science,213.0,unknown,"pointers in c and c++ Kanetkar, Yashwant computer_science unknown"
the cathedral and the bazaar,"Raymond, Eric",computer_science,217.0,unknown,"the cathedral and the bazaar Raymond, Eric computer_science unknown"
design with op amps,"Franco, Sergio",computer_science,240.0,unknown,"design with op amps Franco, Sergio computer_science unknown"
think complexity,"Downey, Allen",data_science,230.0,unknown,"think complexity Downey, Allen data_science unknown"
the devil's advocate,"West, Morris",fiction,178.0,unknown,"the devil's advocate West, Morris fiction unknown"
ayn rand answer,"Rand, Ayn",philosophy,203.0,unknown,"ayn rand answer Rand, Ayn philosophy unknown"
philosophy: who needs it,"Rand, Ayn",philosophy,171.0,unknown,"philosophy: who needs it Rand, Ayn philosophy unknown"
the world's great thinkers,unknown,philosophy,189.0,unknown,the world's great thinkers unknown philosophy unknown
data analysis with open source tool,"Janert, Phillip",data_science,230.0,unknown,"data analysis with open source tool Janert, Phillip data_science unknown"
broca's brain,"Sagan, Carl",science,174.0,unknown,"broca's brain Sagan, Carl science unknown"
men of mathematic,"Bell, E T",mathematics,217.0,unknown,"men of mathematic Bell, E T mathematics unknown"
oxford book of modern science writing,"Dawkins, Richard",science,240.0,unknown,"oxford book of modern science writing Dawkins, Richard science unknown"
"justice, judiciary and democracy","Ranjan, Sudhanshu",philosophy,224.0,unknown,"justice, judiciary and democracy Ranjan, Sudhanshu philosophy unknown"
arthashastra,Kautiyla,philosophy,214.0,unknown,arthashastra Kautiyla philosophy unknown
we the people,Palkhivala,philosophy,216.0,unknown,we the people Palkhivala philosophy unknown
we the nation,Palkhivala,philosophy,216.0,unknown,we the nation Palkhivala philosophy unknown
the courtroom genius,Sorabjee,nonfiction,217.0,unknown,the courtroom genius Sorabjee nonfiction unknown
dongri to dubai,"Zaidi, Hussain",nonfiction,216.0,unknown,"dongri to dubai Zaidi, Hussain nonfiction unknown"
"history of england, foundation","Ackroyd, Peter",history,197.0,unknown,"history of england, foundation Ackroyd, Peter history unknown"
city of djinns,"Dalrymple, William",history,198.0,unknown,"city of djinns Dalrymple, William history unknown"
india's legal system,Nariman,nonfiction,177.0,unknown,india's legal system Nariman nonfiction unknown
more tears to cry,"Sassoon, Jean",fiction,235.0,unknown,"more tears to cry Sassoon, Jean fiction unknown"
the ropemaker,"Dickinson, Peter",fiction,196.0,unknown,"the ropemaker Dickinson, Peter fiction unknown"
angels & demon,"Brown, Dan",fiction,170.0,unknown,"angels & demon Brown, Dan fiction unknown"
"judge, the book",unknown,fiction,170.0,unknown,"judge, the book unknown fiction unknown"
attorney,unknown,fiction,170.0,unknown,attorney unknown fiction unknown
prince,Machiavelli,philosophy,173.0,unknown,prince Machiavelli philosophy unknown
eyeless in gaza,"Huxley, Aldous",fiction,180.0,unknown,"eyeless in gaza Huxley, Aldous fiction unknown"
tales of beedle the bar,"Rowling, J K",fiction,184.0,unknown,"tales of beedle the bar Rowling, J K fiction unknown"
girl with the dragon tatto,"Larsson, Steig",fiction,179.0,unknown,"girl with the dragon tatto Larsson, Steig fiction unknown"
girl who kicked the hornet's nest,"Larsson, Steig",fiction,179.0,unknown,"girl who kicked the hornet's nest Larsson, Steig fiction unknown"
girl who played with fire,"Larsson, Steig",fiction,179.0,unknown,"girl who played with fire Larsson, Steig fiction unknown"
batman handbook,unknown,comic,270.0,unknown,batman handbook unknown comic unknown
murphy's law,unknown,nonfiction,178.0,unknown,murphy's law unknown nonfiction unknown
structure and randomnes,"Tao, Terence",mathematics,252.0,unknown,"structure and randomnes Tao, Terence mathematics unknown"
image processing with matlab,"Eddins, Steve",signal_processing,241.0,unknown,"image processing with matlab Eddins, Steve signal_processing unknown"
animal farm,"Orwell, George",fiction,180.0,unknown,"animal farm Orwell, George fiction unknown"
the idiot,"Dostoevsky, Fyodor",fiction,197.0,unknown,"the idiot Dostoevsky, Fyodor fiction unknown"
christmas carol,"Dickens, Charles",fiction,196.0,unknown,"christmas carol Dickens, Charles fiction unknown"
the dhoni touch,Bharat Sundaresan,Biography,200.0,unknown,the dhoni touch Bharat Sundaresan Biography unknown
the test of my life,"Nishant Jeet Arora, Sharda Ugra, and Yuvraj Singh",Biography,250.0,unknown,"the test of my life Nishant Jeet Arora, Sharda Ugra, and Yuvraj Singh Biography unknown"
